Time sum_kwh count_users mean_kwh day hour prediction
37627 14679.659 6240 2.352509455128205 376 13 2.299450248357635
37629 14191.737 6240 2.274316826923077 376 14 2.242580195481493
37631 14360.614 6240 2.301380448717949 376 15 2.2719967953853546
37633 15626.164 6240 2.504192948717949 376 16 2.591096619131549
37635 17808.971 6240 2.854001762820513 376 17 2.9657080596058325
37637 16693.851 6240 2.6752966346153846 376 18 2.7994605031244992
37639 15667.415 6240 2.510803685897436 376 19 2.632681941996475
37641 14351.38 6240 2.299900641025641 376 20 2.464669764460824
37643 13422.898 6240 2.151105448717949 376 21 2.2927860919724403
37645 11740.423 6240 1.881478044871795 376 22 1.9951599102707904
37647 10700.847 6240 1.7148793269230769 376 23 1.8044611440474283
37701 8299.984 6240 1.330125641025641 377 0 1.3764299439551642
37703 6851.951000000001 6240 1.0980690705128209 377 1 1.069387029623699
37705 6182.988 6240 0.9908634615384616 377 2 0.9019529223378704
37707 5800.975 6240 0.9296434294871796 377 3 0.8359881505204163
37709 5671.503000000001 6240 0.9088947115384616 377 4 0.7882212970376301
37711 5787.104 6240 0.9274205128205129 377 5 0.7767439551641312
37713 6521.613 6240 1.0451302884615383 377 6 0.8406331465172138
37715 8776.49 6240 1.406488782051282 377 7 0.974902001601281
37717 10270.261 6240 1.64587516025641 377 8 1.1580233787029623
37719 12522.991 6240 2.0068895833333333 377 9 1.542671417133707
37721 13843.764 6240 2.218551923076923 377 10 1.898315932746197
37723 14660.135 6240 2.349380608974359 377 11 2.091521056845476
37725 15165.274 6240 2.430332371794872 377 12 2.2027184947958367
37727 14836.013 6240 2.377566185897436 377 13 2.2215092073658926
37729 14623.355 6240 2.343486378205128 377 14 2.1743357886309047
37731 15126.517 6240 2.424121314102564 377 15 2.197495596477182
37733 16808.078999999998 6240 2.6936024038461537 377 16 2.459124579663731
37735 18014.361 6240 2.886916826923077 377 17 2.6606549239391515
37737 16711.628 6240 2.678145512820513 377 18 2.6292337870296234
37739 15772.617 6240 2.527662980769231 377 19 2.469526661329063
37741 14705.429 6240 2.356639262820513 377 20 2.303226261008807
37743 13475.631 6240 2.15955625 377 21 2.127673658927142
37745 11759.963 6240 1.884609455128205 377 22 1.8892629303442756
37747 10311.712 6240 1.6525179487179489 377 23 1.7192286629303442
37801 7922.601 6240 1.269647596153846 378 0 1.3855759615384615
37803 6489.126 6240 1.0399240384615385 378 1 1.108834935897436
37805 5832.825000000001 6240 0.9347475961538464 378 2 0.9770817307692308
37807 5663.577 6240 0.9076245192307691 378 3 0.9102746794871794
37809 5474.264 6240 0.8772858974358975 378 4 0.8922113782051281
37811 5545.9130000000005 6240 0.8887681089743591 378 5 0.8875570512820512
37813 6436.744 6240 1.0315294871794871 378 6 1.021117147435897
37815 9167.308 6240 1.469119871794872 378 7 1.318392467948718
37817 10875.719 6240 1.742903685897436 378 8 1.6100804487179488
37819 12185.276 6240 1.9527685897435896 378 9 1.9865703525641027
37821 13081.3 6240 2.0963621794871794 378 10 2.192187980769231
37823 13249.216 6240 2.123271794871795 378 11 2.2856709935897435
37825 13531.94 6240 2.168580128205128 378 12 2.389838461538462
37827 13279.597 6240 2.128140544871795 378 13 2.347934775641026
37829 13070.431 6240 2.0946203525641027 378 14 2.2724107371794875
37831 13591.414 6240 2.178111217948718 378 15 2.289461538461538
37833 15332.092 6240 2.457066025641026 378 16 2.543841987179487
